Site,Sample_ID,Date,Species,Pollen,Sample_no,Who,Buffer,Date,Epoch,RNA,NFW,Date,Target_RNA,DF
Goe1286,Goe1286S8,7.22,Lasioglossum calceatum,no,8,C,500,23.5.23,336.25,2.38,7.62,6.9.23,800,10
Goe1286,Goe1286S9,7.22,Andrena flavipes,yes,9,C,500,23.5.23,271.905,2.94,7.06,6.9.23,800,10
Goe1286,Goe1286S10,7.22,Andrena flavipes,no,10,C,500,23.5.23,391.833,2.04,7.96,6.9.23,800,10
Goe1378,Goe1378S1,7.22,Andrena dorsata,yes,1,C,500,23.5.23,310.071,2.58,7.42,6.9.23,800,10
Goe1378,Goe1378S2,7.22,Lasioglossum pauxillum,no,2,C,200,23.5.23,31.987,7.50,2.50,6.9.23,240,3
Goe1378,Goe1378S3,7.22,Lasioglossum laticeps,no,3,C,200,23.5.23,20.004,8.00,2.00,6.9.23,160,2
Goe1378,Goe1378S4,7.22,Lasioglossum calceatum,no,4,C,300,23.5.23,27.126,8.85,1.15,6.9.23,240,3
Goe1378,Goe1378S5,7.22,Lasioglossum calceatum,no,5,C,300,23.5.23,27.315,8.79,1.21,6.9.23,240,3
Goe1378,Goe1378S6,7.22,Lasioglossum calceatum,no,6,C,300,23.5.23,41.973,4.76,5.24,6.9.23,400,5
Goe1378,Goe1378S7,7.22,Lasioglossum calceatum,no,7,C,300,23.5.23,83.961,7.01,2.99,6.9.23,400,5
Goe1378,Goe1378S8,7.22,Lasioglossum calceatum,no,8,C,300,23.5.23,57.07,8.17,1.83,6.9.23,240,3
Goe1378,Goe1378S9,7.22,Lasioglossum calceatum,no,9,C,300,23.5.23,29.391,5.32,4.68,6.9.23,800,10
Goe1378,Goe1378S10,7.22,Lasioglossum calceatum,yes,10,C,300,23.5.23,150.489,5.32,4.68,6.9.23,800,10
Goe1378,Goe1378S11,7.22,Lasioglossum pauxillum,no,11,C,150,12.12.23,33.013,4.85,5.15,,160,2
Goe1392,Goe1392S1,7.22,Lasioglossum pauxillum,yes,1,C,150,23.5.23,49.162,8.14,1.86,6.9.23,400,5
Goe1392,Goe1392S2,7.22,Lasioglossum pauxillum,yes,2,C,150,23.5.23,91.032,4.39,5.61,6.9.23,400,5
Goe1392,Goe1392S3,7.22,Lasioglossum pauxillum,no,3,C,200,23.5.23,53.747,7.44,2.56,6.9.23,400,5
